"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"MA","White","$75,000+","Female","Female.White","30-44","college graduate","November","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","November","2013","Kaiser"
1,"NY","White","$75,000+","Male","Male.White","45-64","some college","November","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","Male.White","45-64","some college","November","2013","Kaiser"
1,"NJ","White","$75,000+","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"FL","Other","less than $20,000","Female","Female.Other","18-29","college graduate","November","2013","Kaiser"
1,"OK","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","high school graduate","November","2013","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
1,"FL","Black","$75,000+","Male","Male.Black","30-44","postgraduate","November","2013","Kaiser"
0,"NY","White","less than $20,000","Male","Male.White","30-44","postgraduate","November","2013","Kaiser"
1,"MI","White","$20,000-$40,000","Female","Female.White","45-64","some college","November","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","November","2013","Kaiser"
0,"ME","White","less than $20,000","Male","Male.White","30-44","less than a high school education","November","2013","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","45-64","postgraduate","November","2013","Kaiser"
0,"MO","White","$20,000-$40,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
0,"TX","White","$40,000-$75,000","Male","Male.White","65+","some college","November","2013","Kaiser"
0,"MO","Other","$20,000-$40,000","Male","Male.Other","45-64","less than a high school education","November","2013","Kaiser"
0,"IN","Black","less than $20,000","Male","Male.Black","30-44","high school graduate","November","2013","Kaiser"
1,"TN","White","$75,000+","Male","Male.White","30-44","high school graduate","November","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","November","2013","Kaiser"
1,"AL","Black","$40,000-$75,000","Female","Female.Black","18-29","some college","November","2013","Kaiser"
