"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
0,0,"MD","Black","$40,000-$75,000","Female","30-44","postgraduate","February","2013","Kaiser"
0,1,"KS","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
0,NA,"KY",NA,NA,"Male","45-64","college graduate","February","2013","Kaiser"
0,NA,"LA","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
1,0,"AZ","Hispanic","less than $20,000","Female","65+","college graduate","February","2013","Kaiser"
NA,0,"UT","Other","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"UT","White",NA,"Male","30-44","some college","February","2013","Kaiser"
0,1,"NM","White",NA,"Female","65+","college graduate","February","2013","Kaiser"
NA,0,"CO","White","less than $20,000","Male","45-64","some college","February","2013","Kaiser"
1,NA,"OH","Black","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"CO","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
0,NA,"CO","Hispanic","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"AZ","Hispanic","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
NA,1,"NC","White",NA,"Female","65+","some college","February","2013","Kaiser"
0,1,"MN","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
0,1,"MT",NA,NA,"Female","45-64","some college","February","2013","Kaiser"
0,1,"AZ","White","less than $20,000","Male","45-64","high school graduate","February","2013","Kaiser"
0,1,"NC","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
0,0,"IL","White","$20,000-$40,000","Male","65+","college graduate","February","2013","Kaiser"
1,0,"TX","White","$40,000-$75,000","Male","45-64","some college","February","2013","Kaiser"
1,0,"MN","White","$40,000-$75,000","Female","45-64","college graduate","February","2013","Kaiser"
1,0,"FL","White","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,NA,"WI","White","$75,000+","Female","65+","some college","February","2013","Kaiser"
0,0,"NV","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
1,0,"VA","White",NA,"Female","45-64","some college","February","2013","Kaiser"
1,0,"OH","White","$40,000-$75,000","Male","45-64","high school graduate","February","2013","Kaiser"
NA,1,"CT","Hispanic","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"TX","Black","$40,000-$75,000","Male","45-64","postgraduate","February","2013","Kaiser"
NA,NA,"PA","White",NA,"Male","65+","high school graduate","February","2013","Kaiser"
0,1,"CO","White","$75,000+","Male","65+","some college","February","2013","Kaiser"
1,0,"NJ","White","less than $20,000","Male","65+","high school graduate","February","2013","Kaiser"
0,1,"TN","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
0,0,"WV","White","$20,000-$40,000","Male","45-64","high school graduate","February","2013","Kaiser"
1,0,"AZ","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,0,"NJ","White",NA,"Male","65+","college graduate","February","2013","Kaiser"
0,0,"CA","White","$75,000+","Male","65+","some college","February","2013","Kaiser"
1,0,"CA","Black","$40,000-$75,000","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"NV","Hispanic",NA,"Female","45-64","some college","February","2013","Kaiser"
1,0,"WA","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
1,0,"WI","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
1,0,"TN","Black","$40,000-$75,000","Male","45-64","some college","February","2013","Kaiser"
NA,0,"TN","White",NA,"Male","65+","some college","February","2013","Kaiser"
0,0,"OR","White",NA,"Female","65+","some college","February","2013","Kaiser"
0,1,"CA","White","less than $20,000","Female","45-64","some college","February","2013","Kaiser"
1,0,"LA","White","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
1,0,"WI","Other","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
1,0,"CA","White","$75,000+","Female","65+","college graduate","February","2013","Kaiser"
0,0,"WI","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
0,0,"CA","Hispanic","$20,000-$40,000","Female","18-29","college graduate","February","2013","Kaiser"
0,0,"TX","Hispanic","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
0,1,"KS","White","$20,000-$40,000","Male","45-64","high school graduate","February","2013","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Male","30-44","some college","February","2013","Kaiser"
1,0,"CA","Hispanic","less than $20,000","Male","30-44","less than a high school education","February","2013","Kaiser"
0,1,"IA","White","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,0,"CA","Black","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
