"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
0,"MI","White","less than $20,000","Male","30-44","high school graduate","August","2013","Kaiser"
NA,"VA","White","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
1,"IA","White","$40,000-$75,000","Female","45-64","postgraduate","August","2013","Kaiser"
NA,"NY","Other","$75,000+","Male","30-44","college graduate","August","2013","Kaiser"
0,"MA","White","$40,000-$75,000","Female","18-29","college graduate","August","2013","Kaiser"
1,"TN","White","less than $20,000","Female","30-44","postgraduate","August","2013","Kaiser"
NA,"VA","Other","$40,000-$75,000","Male","30-44","postgraduate","August","2013","Kaiser"
1,"FL","Black",NA,"Male","45-64","college graduate","August","2013","Kaiser"
1,"FL","White","$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
NA,"KY","White",NA,"Female","65+","postgraduate","August","2013","Kaiser"
1,"TX","Black","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
1,"MS","Other","$40,000-$75,000","Male","18-29","some college","August","2013","Kaiser"
1,"IL","White",NA,"Male","45-64","college graduate","August","2013","Kaiser"
0,"MD","White","$40,000-$75,000","Male","65+","postgraduate","August","2013","Kaiser"
NA,"MN","Hispanic",NA,"Female","18-29","high school graduate","August","2013","Kaiser"
0,"NC","White","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
1,"TX","White","$40,000-$75,000","Male","18-29","high school graduate","August","2013","Kaiser"
0,"GA","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"NY","Black","less than $20,000","Male","30-44","high school graduate","August","2013","Kaiser"
0,"TX","White","$40,000-$75,000","Female","18-29","college graduate","August","2013","Kaiser"
1,"DE","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
NA,"UT","White","less than $20,000","Male","18-29","some college","August","2013","Kaiser"
1,"IL","White","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"ND","White","$40,000-$75,000","Female","30-44","college graduate","August","2013","Kaiser"
1,"ID","White","$20,000-$40,000","Male","30-44","high school graduate","August","2013","Kaiser"
0,"OH","Other","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"PA","Other","$20,000-$40,000","Female","18-29","college graduate","August","2013","Kaiser"
0,"NM","White","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
1,"TX","Black","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
0,"TN","White","$40,000-$75,000","Male","18-29","college graduate","August","2013","Kaiser"
1,"TX","White","less than $20,000","Female","30-44","college graduate","August","2013","Kaiser"
1,"SD","White","$75,000+","Male","30-44","college graduate","August","2013","Kaiser"
1,"MD","White","$20,000-$40,000","Female","18-29","high school graduate","August","2013","Kaiser"
1,"AZ","White","$75,000+","Female","18-29","postgraduate","August","2013","Kaiser"
NA,"CA","White","$20,000-$40,000","Female","18-29","some college","August","2013","Kaiser"
0,"WV","White","$40,000-$75,000","Male","30-44","high school graduate","August","2013","Kaiser"
NA,"CA","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","August","2013","Kaiser"
1,"MD","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
NA,"IA","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
NA,"CO","Hispanic","less than $20,000","Female","18-29","high school graduate","August","2013","Kaiser"
1,"CA","Other","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
0,"OK","Other","$75,000+","Male","30-44","college graduate","August","2013","Kaiser"
NA,"TX","Black","$75,000+","Male","18-29","some college","August","2013","Kaiser"
1,"CA","Other","$75,000+","Female","30-44","college graduate","August","2013","Kaiser"
0,"AZ","Other","less than $20,000","Female","30-44","high school graduate","August","2013","Kaiser"
1,"FL","Black","$20,000-$40,000","Male","45-64","some college","August","2013","Kaiser"
1,"MD","White","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
1,"TX","Black","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"WI","White","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
1,"IL","Black","less than $20,000","Male","45-64","less than a high school education","August","2013","Kaiser"
1,"UT","White","$20,000-$40,000","Female","65+","college graduate","August","2013","Kaiser"
1,"NM","White","$40,000-$75,000","Male","45-64","college graduate","August","2013","Kaiser"
0,"CT","Black","$20,000-$40,000","Female","18-29","high school graduate","August","2013","Kaiser"
0,"TX","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","August","2013","Kaiser"
0,"VA","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
NA,"SD","Other","$20,000-$40,000","Female","45-64","less than a high school education","August","2013","Kaiser"
1,"SD","White","$40,000-$75,000","Female","18-29","some college","August","2013","Kaiser"
0,"IL","White","$75,000+","Male","65+","high school graduate","August","2013","Kaiser"
0,"KS","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
